"Entity","BankAccountID","PublisherID_counterparty","SourceID_counterparty","BankName","IBAN","SWIFT","CurrencyID","AccountType","DefaultFlag"
"BankAccount","BANK-001","ERP","CP-SUP-001","Global Trust","IBAN9481143585301386","FTNBUS33","CURR-USD","AP","true"
"BankAccount","BANK-002","ERP","CP-SUP-002","Global Trust","IBAN6257253247097746","FTNBUS33","CURR-SGD","Treasury","true"
"BankAccount","BANK-003","ERP","CP-SUP-003","First National Bank","IBAN4564922780733457","FTNBUS33","CURR-GBP","AP","true"
"BankAccount","BANK-004","ERP","CP-SUP-004","First National Bank","IBAN5127867338391411","FTNBUS33","CURR-BRL","AP","true"
"BankAccount","BANK-005","ERP","CP-SUP-005","First National Bank","IBAN4143593651476030","FTNBUS33","CURR-USD","AP","true"
"BankAccount","BANK-006","ERP","CP-SUP-006","Continental Bank","IBAN3724833353478467","FTNBUS33","CURR-CAD","AP","true"
"BankAccount","BANK-007","ERP","CP-SUP-007","First National Bank","IBAN8909465481131886","FTNBUS33","CURR-BRL","AP","true"
"BankAccount","BANK-008","ERP","CP-SUP-008","First National Bank","IBAN3537832920423641","FTNBUS33","CURR-GBP","AP","true"
"BankAccount","BANK-009","ERP","CP-SUP-009","Global Trust","IBAN5400303539649777","FTNBUS33","CURR-BRL","Treasury","true"
"BankAccount","BANK-010","ERP","CP-SUP-010","First National Bank","IBAN4004406948191950","FTNBUS33","CURR-USD","AP","true"
"BankAccount","BANK-011","ERP","CP-SUP-011","Continental Bank","IBAN4852262277816124","FTNBUS33","CURR-BRL","AP","true"
"BankAccount","BANK-012","ERP","CP-SUP-012","First National Bank","IBAN4325605351785707","FTNBUS33","CURR-USD","AP","true"
"BankAccount","BANK-013","ERP","CP-SUP-013","First National Bank","IBAN4222861420424384","FTNBUS33","CURR-EUR","AP","true"
"BankAccount","BANK-014","ERP","CP-SUP-014","Continental Bank","IBAN8878713279948508","FTNBUS33","CURR-BRL","Treasury","true"
"BankAccount","BANK-015","ERP","CP-SUP-015","First National Bank","IBAN4713621488336400","FTNBUS33","CURR-SGD","AP","true"
"BankAccount","BANK-016","ERP","CP-SUP-016","Continental Bank","IBAN7620811762027719","FTNBUS33","CURR-CAD","AP","true"
"BankAccount","BANK-017","ERP","CP-SUP-017","First National Bank","IBAN5239600265249911","FTNBUS33","CURR-GBP","AP","true"
"BankAccount","BANK-018","ERP","CP-SUP-018","First National Bank","IBAN1213147299447959","FTNBUS33","CURR-CAD","AP","true"
"BankAccount","BANK-019","ERP","CP-SUP-019","Global Trust","IBAN5588320612427189","FTNBUS33","CURR-EUR","Treasury","true"
"BankAccount","BANK-020","ERP","CP-SUP-020","Global Trust","IBAN6229484227075803","FTNBUS33","CURR-BRL","Treasury","true"
"BankAccount","BANK-021","ERP","CP-SUP-021","Continental Bank","IBAN3825357419043683","FTNBUS33","CURR-USD","Treasury","true"
"BankAccount","BANK-022","ERP","CP-SUP-022","First National Bank","IBAN1399798124773004","FTNBUS33","CURR-SGD","Treasury","true"
"BankAccount","BANK-023","ERP","CP-SUP-023","Continental Bank","IBAN7040483825352833","FTNBUS33","CURR-USD","AP","true"
"BankAccount","BANK-024","ERP","CP-SUP-024","Continental Bank","IBAN6975262929667718","FTNBUS33","CURR-GBP","AP","true"
"BankAccount","BANK-025","ERP","CP-SUP-025","Global Trust","IBAN4624498532235524","FTNBUS33","CURR-BRL","Treasury","true"
"BankAccount","BANK-026","ERP","CP-SUP-026","Global Trust","IBAN7738596143084908","FTNBUS33","CURR-SGD","AP","true"
"BankAccount","BANK-027","ERP","CP-SUP-027","First National Bank","IBAN3584287422103479","FTNBUS33","CURR-SGD","AP","true"
"BankAccount","BANK-028","ERP","CP-SUP-028","Global Trust","IBAN4979254837114697","FTNBUS33","CURR-EUR","Treasury","true"
"BankAccount","BANK-029","ERP","CP-SUP-029","First National Bank","IBAN1763772569022808","FTNBUS33","CURR-BRL","Treasury","true"
"BankAccount","BANK-030","ERP","CP-SUP-030","First National Bank","IBAN9574849886991140","FTNBUS33","CURR-SGD","AP","true"
