ID,Name,FiscalYear,FiscalYearEnd,Revenue,USFEIN,SSN,InputAddressAL,InputAddressCity,InputAddressState,InputAddressZipCode,InputAddressCountry,NewInTY22,FinalInTY22,K1DueJune30,FromADVPF,ENableTaxSoftware,Website,ChainID,FDN_Category2,FDN_Country,FDN_Currency,FDN_EntityStructure,FDN_EntityType,FDN_GeographyType,FDN_Industry,FDN_Region,FDN_Strategy,FDN_Status
599,Johnson Advisors Ltd,True,31-Mar,804323,38-3402982,875-36-1083,2902 Broad Ct,Kuwait City,,69971,SA,No,No,Yes,Yes,No,https://www.johnson-advisors-ltd.com,1,Fund-Related,SA,SAR,Limited Company,Partnership,International,Healthcare,Middle East,European Senior Loans,Pending Validation
600,Kowalski Holdings SARL,False,30-Jun,1182570,25-8694039,571-50-0137,194 Lake Way,Stockholm,,23205,AT,No,No,No,No,Yes,https://www.kowalski-holdings-sarl.com,2,Fund-Related,AT,EUR,SARL,Public Sector Undertaking,International,Software Development,Europe,Global Convertibles,Active
601,Moreau Ventures,False,31-Dec,4325540,47-0522734,264-57-0730,4766 Elm St,Abu Dhabi,,89827,AE,Yes,Yes,No,Yes,Yes,https://www.moreau-ventures.com,3,Fund-Related,AE,AED,Private Company,Individual,International,Software Development,Middle East,European Senior Loans,Pending Validation
602,Costa Holdings LLC,True,30-Jun,2481886,59-5188664,754-99-5945,2000 Walnut Rd,Calgary,,M0M 4J1,CA,No,No,Yes,No,Yes,https://www.costa-holdings-llc.com,4,Deal-Related,CA,CAD,LLC,Organization,International,Software Development,North America,US Private Debt,Draft
603,Smith Management LLC,True,31-Dec,2701846,67-5904855,371-25-9016,1378 Park Way,Santiago,,29742,AR,No,No,No,Yes,Yes,https://www.smith-management-llc.com,5,Portfolio Company-Related,AR,ARS,LLC,Partnership,International,Finance,South America,Global Convertibles,Active
604,Jackson Solutions Ltd,True,30-Jun,4186746,99-7302077,762-19-2519,390 Broad Dr,Berlin,,21471,DE,Yes,No,No,No,No,https://www.jackson-solutions-ltd.com,6,Deal-Related,DE,EUR,Limited Company,Organization,Domestic,eCommerce,Europe,Global Credit,Pending Validation
605,Anderson Capital Pvt Ltd,False,31-Dec,4075101,77-4947563,564-74-9919,7049 Cedar Ave,Prague,,38183,DE,No,No,Yes,No,No,https://www.anderson-capital-pvt-ltd.com,7,Fund-Related,DE,EUR,Private Company,Individual,Domestic,Construction,Europe,Global Convertibles,Draft
606,Rossi Solutions Pvt Ltd,True,30-Jun,3111616,21-6448284,507-85-1316,8496 Lake Way,Rome,,65950,ES,No,No,Yes,Yes,No,https://www.rossi-solutions-pvt-ltd.com,8,Portfolio Company-Related,ES,EUR,Private Company,Individual,International,Finance,Europe,European Senior Loans,Pending Validation
607,Dubois Partners LLC,True,30-Jun,3776689,73-4661755,307-33-6846,630 Oak Dr,Edmonton,,K9L 5A1,CA,No,No,Yes,No,Yes,https://www.dubois-partners-llc.com,9,Portfolio Company-Related,CA,CAD,LLC,Public Sector Undertaking,Domestic,Software Development,North America,US Private Debt,Draft
608,Costa Solutions SA,True,30-Sep,2890475,17-5855581,137-28-0531,9472 Willow Ln,Vienna,,21495,IT,No,Yes,No,No,Yes,https://www.costa-solutions-sa.com,10,Deal-Related,IT,EUR,SA,Private Company,International,Software Development,Europe,US Private Debt,Pending Validation
609,Martin Enterprises Ltd,True,31-Mar,3229530,31-0330712,651-51-0612,7552 Market Pl,Lisbon,,44946,IT,No,No,No,Yes,No,https://www.martin-enterprises-ltd.com,11,Portfolio Company-Related,IT,EUR,Limited Company,Partnership,International,Finance,Europe,Global Credit,Draft
610,Martin Ventures Pvt Ltd,False,31-Mar,3025030,14-9995511,214-55-0599,8705 Main Rd,Rome,,21016,AT,No,No,No,Yes,No,https://www.martin-ventures-pvt-ltd.com,12,Deal-Related,AT,EUR,Private Company,Partnership,Domestic,Software Development,Europe,European Senior Loans,Draft
611,Moreau Partners LLC,True,31-Dec,2489728,87-2208458,875-71-0110,4452 Park Blvd,Amsterdam,,77404,NL,No,No,No,Yes,No,https://www.moreau-partners-llc.com,13,Portfolio Company-Related,NL,EUR,LLC,Corporation,International,Construction,Europe,US Private Debt,Active
612,Dubois International,True,31-Mar,1270680,28-5806635,569-60-2708,7547 Oak Blvd,Jeddah,,32553,BH,No,Yes,Yes,Yes,No,https://www.dubois-international.com,14,Fund-Related,BH,BHD,Limited Company,Partnership,Domestic,Software Development,Middle East,US Private Debt,Active
613,Müller International SA,True,30-Sep,1063621,23-3449113,304-82-4892,3512 Spruce Ln,Vienna,,70788,PT,Yes,No,Yes,Yes,Yes,https://www.mller-international-sa.com,15,Portfolio Company-Related,PT,EUR,SA,Organization,Domestic,Finance,Europe,Global Convertibles,Active
614,Smith Ventures,True,30-Jun,3448740,86-8732778,674-24-9713,2225 Center Ct,Tijuana,,82299,MX,No,Yes,No,No,No,https://www.smith-ventures.com,16,Fund-Related,MX,MXN,Private Company,Public Sector Undertaking,Domestic,Finance,North America,Global Credit,Pending Validation
615,Thomas Services Pvt Ltd,False,30-Jun,1245859,10-8825074,885-83-2958,6823 Pine Rd,Dublin,,98723,IT,No,Yes,No,Yes,Yes,https://www.thomas-services-pvt-ltd.com,17,Fund-Related,IT,EUR,Private Company,Partnership,Domestic,eCommerce,Europe,Global Credit,Draft
616,Thomas Investments SARL,False,31-Dec,3841731,88-2066894,542-28-0354,3028 Elm Rd,Rome,,77045,NL,No,Yes,No,No,No,https://www.thomas-investments-sarl.com,18,Portfolio Company-Related,NL,EUR,SARL,Public Sector Undertaking,Domestic,Construction,Europe,European Senior Loans,Draft
617,Lefevre Management Pvt Ltd,True,31-Dec,3261640,73-8613268,274-33-1231,230 Washington Ave,Quito,,87200,CO,No,Yes,No,No,No,https://www.lefevre-management-pvt-ltd.com,19,Deal-Related,CO,COP,Private Company,Corporation,Domestic,Software Development,South America,Global Convertibles,Pending Validation
618,Costa International SA,False,30-Jun,2849465,70-5093866,479-28-5017,5468 Park Dr,Muscat,,50372,QA,Yes,No,No,Yes,No,https://www.costa-international-sa.com,20,Portfolio Company-Related,QA,QAR,SA,Public Sector Undertaking,International,Construction,Middle East,Global Credit,Draft
619,Schmidt Industries SARL,True,31-Dec,2427757,98-9568329,498-11-9189,9784 Lake Ave,Riyadh,,52432,QA,Yes,No,No,Yes,No,https://www.schmidt-industries-sarl.com,21,Portfolio Company-Related,QA,QAR,SARL,Public Sector Undertaking,International,Healthcare,Middle East,US Private Debt,Draft
620,Costa Enterprises,False,30-Jun,4819706,26-5370659,628-83-3213,8093 Maple Pl,Lima,,99333,EC,Yes,No,Yes,No,No,https://www.costa-enterprises.com,22,Deal-Related,EC,USD,SA,Partnership,International,Software Development,South America,US Private Debt,Draft
621,Moreau Capital LLC,False,31-Dec,1069031,57-6228915,843-80-8859,2388 Highland Dr,Manama,,32801,OM,Yes,No,No,No,No,https://www.moreau-capital-llc.com,23,Fund-Related,OM,OMR,LLC,Private Company,International,Construction,Middle East,Global Convertibles,Draft
622,Taylor Management Ltd,False,30-Jun,2609280,95-6313125,574-41-1569,6351 Elm Dr,Rome,,62413,PT,Yes,No,No,Yes,Yes,https://www.taylor-management-ltd.com,24,Fund-Related,PT,EUR,Limited Company,Private Company,International,Finance,Europe,European Senior Loans,Pending Validation
623,Harris Enterprises LLC,False,31-Mar,2684549,58-5850369,570-42-3575,7647 Riverside Pl,Manama,,86609,BH,Yes,No,Yes,No,No,https://www.harris-enterprises-llc.com,25,Deal-Related,BH,BHD,LLC,Partnership,International,Finance,Middle East,Global Convertibles,Draft
624,Lefevre Services Ltd,True,30-Sep,2557598,52-9103504,577-63-1020,3389 Market Way,Stockholm,,12560,ES,No,No,Yes,No,Yes,https://www.lefevre-services-ltd.com,26,Fund-Related,ES,EUR,Limited Company,Partnership,International,Healthcare,Europe,Global Convertibles,Draft
625,Harris Partners LLC,True,30-Sep,2888535,15-9056840,650-34-0109,8002 Oak Dr,Guadalajara,,46941,MX,No,Yes,Yes,No,No,https://www.harris-partners-llc.com,27,Fund-Related,MX,MXN,LLC,Partnership,International,Finance,North America,US Private Debt,Draft
626,Brown Advisors,True,31-Dec,2854209,48-0485654,147-51-0919,4807 Park Dr,Manama,,29080,OM,Yes,Yes,No,Yes,No,https://www.brown-advisors.com,28,Portfolio Company-Related,OM,OMR,Private Company,Partnership,International,Finance,Middle East,US Private Debt,Active
627,Rossi Ventures Pvt Ltd,True,30-Jun,1655750,39-3577178,414-74-5003,5244 Cherry Ct,Madrid,,99751,IE,Yes,Yes,No,Yes,Yes,https://www.rossi-ventures-pvt-ltd.com,29,Portfolio Company-Related,IE,EUR,Private Company,Corporation,Domestic,Finance,Europe,US Private Debt,Draft
628,Rossi Holdings Pvt Ltd,False,30-Sep,2603627,16-1444846,536-60-2932,9767 Spruce Ct,Tijuana,,56612,MX,Yes,Yes,No,Yes,No,https://www.rossi-holdings-pvt-ltd.com,30,Fund-Related,MX,MXN,Private Company,Individual,Domestic,Finance,North America,Global Credit,Draft
629,Brown Investments,True,31-Mar,3115993,32-7893693,631-93-7245,4558 Washington Way,Puebla,,21959,MX,Yes,Yes,No,No,No,https://www.brown-investments.com,31,Fund-Related,MX,MXN,Private Company,Corporation,International,eCommerce,North America,Global Convertibles,Pending Validation
630,Jackson Solutions LLC,False,31-Mar,1430745,82-5631448,730-48-6859,5385 Washington Ave,Muscat,,15530,IL,Yes,Yes,No,No,No,https://www.jackson-solutions-llc.com,32,Deal-Related,IL,ILS,LLC,Private Company,Domestic,Software Development,Middle East,US Private Debt,Draft
631,Jackson Advisors SA,True,30-Jun,2551581,28-1198058,161-31-5039,9750 Spruce Ln,Puebla,,26299,MX,No,No,Yes,Yes,No,https://www.jackson-advisors-sa.com,33,Portfolio Company-Related,MX,MXN,SA,Organization,International,Construction,North America,Global Convertibles,Pending Validation
632,Jackson Advisors Ltd,True,31-Mar,4840703,70-5949741,354-96-6328,6924 Main Ave,Brussels,,49586,NL,No,Yes,Yes,No,Yes,https://www.jackson-advisors-ltd.com,34,Fund-Related,NL,EUR,Limited Company,Organization,Domestic,Finance,Europe,European Senior Loans,Pending Validation
633,Kowalski Solutions SARL,False,30-Sep,1143841,16-3856420,287-14-7704,4264 Washington Ct,Manama,,25207,QA,No,Yes,Yes,Yes,No,https://www.kowalski-solutions-sarl.com,35,Deal-Related,QA,QAR,SARL,Partnership,International,eCommerce,Middle East,European Senior Loans,Draft
634,Taylor Enterprises Pvt Ltd,True,31-Dec,3265571,32-4383091,817-40-7944,2963 Cherry St,Vancouver,,C2T 2P6,CA,No,Yes,No,Yes,Yes,https://www.taylor-enterprises-pvt-ltd.com,36,Deal-Related,CA,CAD,Private Company,Corporation,International,Software Development,North America,US Private Debt,Pending Validation
635,Garcia Capital SARL,False,30-Sep,3681197,87-9189346,855-51-7426,449 Maple Blvd,Quito,,94030,VE,Yes,Yes,Yes,Yes,Yes,https://www.garcia-capital-sarl.com,37,Deal-Related,VE,VES,SARL,Private Company,International,Software Development,South America,Global Convertibles,Draft
636,Dubois Investments SARL,False,31-Mar,4928597,93-2583673,616-23-2130,3585 Park Way,Quito,,91327,CO,No,Yes,No,Yes,Yes,https://www.dubois-investments-sarl.com,38,Deal-Related,CO,COP,SARL,Corporation,International,Software Development,South America,Global Credit,Draft
637,Harris Solutions Ltd,True,30-Sep,1267186,62-5058905,885-86-8185,1669 Walnut Blvd,Doha,,22418,KW,No,No,Yes,No,Yes,https://www.harris-solutions-ltd.com,39,Fund-Related,KW,KWD,Limited Company,Corporation,International,Software Development,Middle East,Global Convertibles,Active
638,Kowalski Services SARL,True,30-Sep,2377222,39-7500846,478-71-9226,1786 Riverside Dr,Rome,,92564,PT,Yes,Yes,Yes,No,No,https://www.kowalski-services-sarl.com,40,Deal-Related,PT,EUR,SARL,Private Company,Domestic,Software Development,Europe,European Senior Loans,Pending Validation
639,Taylor Solutions LLC,False,31-Mar,4274876,94-1031500,192-37-2276,9516 Oak Blvd,Edmonton,,E7R 4M9,CA,No,No,No,Yes,Yes,https://www.taylor-solutions-llc.com,41,Fund-Related,CA,CAD,LLC,Individual,Domestic,Software Development,North America,Global Convertibles,Draft
640,Johnson Enterprises LLC,True,30-Sep,1313161,64-7621830,667-43-9372,8223 Riverside Rd,Lisbon,,30552,ES,Yes,Yes,No,Yes,Yes,https://www.johnson-enterprises-llc.com,42,Deal-Related,ES,EUR,LLC,Organization,International,Software Development,Europe,US Private Debt,Draft
641,Garcia Holdings,False,31-Dec,2942795,91-5137252,887-86-0838,8137 Spruce Rd,Caracas,,96676,CO,No,Yes,Yes,Yes,No,https://www.garcia-holdings.com,43,Fund-Related,CO,COP,SARL,Corporation,Domestic,Software Development,South America,European Senior Loans,Pending Validation
642,Moreau Industries,True,31-Mar,2643110,46-0523193,340-65-9669,6460 Highland Way,Montevideo,,60012,CL,Yes,No,No,No,Yes,https://www.moreau-industries.com,44,Portfolio Company-Related,CL,CLP,Private Company,Corporation,Domestic,Software Development,South America,European Senior Loans,Active
643,Martin Industries LLC,False,31-Mar,1653038,92-3206183,392-55-0783,5439 Sunset Ave,Vienna,,67272,IT,No,No,No,No,Yes,https://www.martin-industries-llc.com,45,Portfolio Company-Related,IT,EUR,LLC,Private Company,International,Construction,Europe,Global Convertibles,Active
644,Brown Capital,False,31-Dec,2986485,70-2323803,451-33-1570,5099 Park Blvd,Lisbon,,43031,PT,Yes,No,Yes,No,No,https://www.brown-capital.com,46,Deal-Related,PT,EUR,LLC,Private Company,Domestic,eCommerce,Europe,European Senior Loans,Active
