Accountnumber,Chainid,Name,Routingnumber,FDN_AccountType,FDN_Bank,FDN_Fund,FDN_LegalEntity,FDN_Portfolio
7887950851,64813568,Paul Blanc,2024542722,Custodian Account,BNP Paribas,8,1078,1
6884882440,52587010,Emma Mercier,6771394050,Bank Account,BNP Paribas,36,973,2
4712367625,98429450,Zoe Lefevre,6379012098,Bank Account,BNP Paribas,35,725,3
7161404428,87267850,Leo Girard,2355268102,Custodian Account,BNP Paribas,24,709,4
5567816720,26726926,Hugo David,2584392711,Bank Account,BNP Paribas,40,825,5
7114223633,68496914,Chloe Morel,9886101513,Custodian Account,BNP Paribas,27,718,6
3328710672,20399639,Bruno Bernard,9392965643,Custodian Account,BNP Paribas,8,698,7
8934927891,92043803,Rania Robert,5143889422,Custodian Account,BNP Paribas,24,1152,8
9080621072,28213276,Sofia Lopez,7375197714,Bank Account,BNP Paribas,7,1100,9
8110054933,60882459,Nina Leroy,9251459094,Bank Account,BNP Paribas,14,1053,10
7380780055,41039390,Hugo Boyer,7583090712,Custodian Account,Deutsche Bank,24,966,11
6491309593,16749089,Maya Leroy,3387104291,Bank Account,Deutsche Bank,30,692,12
2125089309,43446826,Giulia Morel,9173043235,Bank Account,Deutsche Bank,22,848,13
6642201119,64009265,Zoe Vincent,5673181221,Bank Account,Deutsche Bank,36,811,14
1245522987,27129912,Giulia Guerin,6611903015,Bank Account,BNP Paribas,10,601,15
3476426797,68526649,Emma Robert,3474961963,Custodian Account,Deutsche Bank,8,625,16
9285415473,72409658,Alice Laurent,9895649328,Bank Account,BNP Paribas,2,777,17
6124453431,42111036,Bruno Robert,9587244082,Custodian Account,Deutsche Bank,5,1086,18
3392080953,53779528,Yara Laurent,8495457335,Bank Account,BNP Paribas,33,825,19
4332894265,22534217,Bruno Lopez,8298348088,Custodian Account,BNP Paribas,2,661,20
6687206971,39372360,Maya Michel,8413332538,Bank Account,BNP Paribas,29,674,21
3343292475,39600202,Klara Fournier,6404582459,Bank Account,Deutsche Bank,9,880,22
1106456634,48089166,Uma Vincent,7887897660,Custodian Account,BNP Paribas,39,1142,23
9303285822,84411983,Oscar Bertrand,9196963901,Custodian Account,Deutsche Bank,8,819,24
2566942273,85017682,Oscar Garnier,7048809022,Bank Account,BNP Paribas,22,1063,25
5160575046,88393811,Nina Lopez,3656086594,Bank Account,BNP Paribas,28,919,26
9894847574,66240084,Ines Laurent,3568547910,Bank Account,BNP Paribas,5,692,27
2181241943,73509974,Chloe Michel,1822662216,Bank Account,BNP Paribas,9,660,28
3553440342,48349783,Rania Roux,8996039244,Custodian Account,Deutsche Bank,27,961,29
6493800024,99152472,Yara Michel,7658867789,Bank Account,BNP Paribas,39,918,30
4482238042,93517915,David Vincent,8164814926,Bank Account,Deutsche Bank,31,828,31
4700855390,28572252,Leo Boyer,1256143439,Custodian Account,Deutsche Bank,18,830,32
1817804383,29806690,Rania Mercier,1564409423,Bank Account,BNP Paribas,2,783,33
7393195616,52910691,Wafa Mercier,6516195409,Custodian Account,BNP Paribas,23,605,34
4274958945,20814950,Emma Vincent,3112035409,Custodian Account,Deutsche Bank,10,630,35
9957813353,54318698,Xavier Bertrand,7243788374,Bank Account,BNP Paribas,27,1063,36
4482141802,82269803,Farid Laurent,2886149718,Custodian Account,BNP Paribas,37,685,37
1127978094,29777514,Emma Richard,5070585433,Bank Account,Deutsche Bank,18,1052,38
4919706735,69038700,Nina David,6928678489,Custodian Account,BNP Paribas,18,819,39
6756332150,72350830,Quentin Thomas,9383431259,Custodian Account,BNP Paribas,8,889,40
8982597239,69401199,Victor Vincent,9201789018,Custodian Account,BNP Paribas,3,824,41
5033992825,13278320,Tom Bernard,8449766493,Bank Account,Deutsche Bank,20,815,42
4965395580,85751409,Emma Mercier,1124327519,Custodian Account,BNP Paribas,21,721,43
2926780541,99508850,Paul Lopez,5535997538,Custodian Account,Deutsche Bank,9,988,44
3555656321,96268397,Wafa Durand,8136179811,Custodian Account,Deutsche Bank,26,642,45
4783282817,30509175,Alice Garcia,7040562787,Bank Account,BNP Paribas,37,1038,46
1955345537,50785405,Maya Andre,9354723429,Custodian Account,BNP Paribas,8,1013,47
3303082117,79782527,Klara Richard,1751917162,Custodian Account,BNP Paribas,6,1046,48
2140169349,42862209,Hugo Michel,3934040683,Custodian Account,Deutsche Bank,26,916,49
1939042955,76354180,Klara Durand,6433231472,Custodian Account,Deutsche Bank,5,1121,50
2094024844,62274692,David Bertrand,8682023540,Bank Account,BNP Paribas,23,750,51
8370987661,67887757,David Robert,4085320828,Custodian Account,Deutsche Bank,12,755,52
8086172302,36096655,Yara Morel,6994940029,Bank Account,Deutsche Bank,32,1074,53
4745927824,81287314,Sofia Mercier,2297602688,Custodian Account,BNP Paribas,21,753,54
8047877267,99038359,Chloe David,1990153355,Custodian Account,BNP Paribas,18,656,55
4713453204,27896471,Quentin Dubois,3668616333,Custodian Account,BNP Paribas,29,637,56
7540301973,90967191,Leo Guerin,2936179853,Custodian Account,Deutsche Bank,6,1118,57
6305160342,62884503,Oscar Vincent,3081821325,Bank Account,BNP Paribas,37,791,58
7010379415,73709724,Tom David,5914110094,Bank Account,Deutsche Bank,29,704,59
3376077463,42747037,Wafa Dubois,2043030161,Bank Account,Deutsche Bank,16,1047,60
2867302554,39450273,Quentin Bertrand,8129391249,Bank Account,BNP Paribas,24,888,61
2452066459,46855845,Nina Mercier,2764265618,Custodian Account,Deutsche Bank,22,666,62
2149938334,41473195,David Roux,3323646093,Custodian Account,BNP Paribas,17,752,63
9462806178,70407340,Chloe Vincent,6915072151,Bank Account,BNP Paribas,20,1000,64
2948728483,13619375,Tom Andre,8088660633,Bank Account,BNP Paribas,36,984,65
3363629219,52133044,Zoe Simon,5146780827,Bank Account,Deutsche Bank,28,1119,66
2699887270,66390708,Alice Laurent,3094011037,Custodian Account,Deutsche Bank,14,948,67
8168204967,73123515,Paul Petit,8699281063,Bank Account,Deutsche Bank,10,678,68
7483366056,51511484,Zoe Thomas,7839626408,Bank Account,BNP Paribas,40,733,69
4163119785,95585469,Maya Robert,2644847276,Bank Account,Deutsche Bank,40,768,70
2970753705,78064830,Oscar Bernard,4459716271,Custodian Account,BNP Paribas,16,1053,71
3597724331,38210242,Jonas Mercier,5165932723,Custodian Account,Deutsche Bank,35,843,72
8377088167,92228802,Zoe Blanc,9284507318,Custodian Account,Deutsche Bank,24,1050,73
1041531046,65682626,Yara Moreau,5067594934,Custodian Account,BNP Paribas,11,803,74
2139027119,75181765,Emma Boyer,5211261115,Custodian Account,Deutsche Bank,31,979,75
4993808565,89442503,David Andre,6047405755,Bank Account,BNP Paribas,6,763,76
1945826486,73771720,Oscar Garnier,2298229437,Bank Account,BNP Paribas,6,826,77
3710566582,97873101,Leo Chevalier,8518238399,Bank Account,BNP Paribas,4,1004,78
5972484792,64502486,Leo Durand,9205284543,Custodian Account,Deutsche Bank,24,828,79
1977515194,34391257,Klara Chevalier,9824122054,Bank Account,BNP Paribas,10,739,80
4633987776,12621534,Jonas Chevalier,7136777415,Custodian Account,Deutsche Bank,31,1058,81
8995970241,64266464,Alice Garnier,3864059081,Bank Account,Deutsche Bank,17,819,82
8987073217,78608612,Rania Lopez,3686566602,Custodian Account,Deutsche Bank,19,842,83
4776436931,75041510,David Bernard,3651968205,Bank Account,BNP Paribas,40,1067,84
9155819200,40150759,David Guerin,5956268238,Custodian Account,Deutsche Bank,33,845,85
5736462531,50392808,Emma Moreau,9848621776,Custodian Account,Deutsche Bank,40,960,86
3615507143,99774697,Sofia Michel,2444812497,Bank Account,Deutsche Bank,34,968,87
8380507338,18620650,Quentin Roux,1651662547,Bank Account,BNP Paribas,31,643,88
5310195918,12601580,Maya Laurent,3485432021,Custodian Account,Deutsche Bank,23,668,89
5728765136,19391725,Hugo Lopez,7586857685,Bank Account,BNP Paribas,9,644,90
9697354961,94525678,Rania Simon,7422990551,Bank Account,BNP Paribas,31,785,91
9592390865,24305904,Chloe Andre,5594799319,Custodian Account,Deutsche Bank,19,805,92
7146318035,33357554,Zoe Petit,5181592277,Bank Account,BNP Paribas,20,1126,93
1251837136,65625330,Rania David,8528185058,Custodian Account,Deutsche Bank,13,891,94
9309500117,20993268,Yara Bernard,8622026979,Custodian Account,BNP Paribas,8,975,95
7271954644,49682169,Maya Lopez,5575615203,Custodian Account,BNP Paribas,22,790,96
2351531223,89920257,Wafa David,2395925222,Custodian Account,BNP Paribas,6,1033,97
6464693977,82828034,Nina Fournier,2272368870,Bank Account,BNP Paribas,21,704,98
1958682846,99245317,Klara Girard,1610900200,Custodian Account,BNP Paribas,29,1035,99
9904586976,72535301,Wafa Garcia,8259841263,Custodian Account,BNP Paribas,3,960,1
1676168421,67527432,Nina Leroy,8924383984,Bank Account,Deutsche Bank,26,971,2
6618926823,31361812,Zoe Lopez,1111088881,Bank Account,Deutsche Bank,10,1047,3
5774080233,82238741,Emma Dubois,1820581106,Bank Account,BNP Paribas,24,991,4
4882343658,99100953,Bruno Fournier,6834555633,Bank Account,BNP Paribas,24,979,5
8879525611,47346970,Yara Dubois,2194673401,Bank Account,BNP Paribas,26,920,6
5996775663,81688860,Ines Durand,7279140605,Bank Account,Deutsche Bank,12,1110,7
7665963761,83300637,Maya Chevalier,1458072318,Bank Account,BNP Paribas,17,1055,8
7635473142,21267237,Tom Moreau,5162060546,Custodian Account,Deutsche Bank,8,737,9
2320763135,94120751,Oscar Richard,3964229896,Custodian Account,Deutsche Bank,21,954,10
1547374338,83534128,Chloe Roux,8076144396,Custodian Account,BNP Paribas,11,777,11
2067970820,55114543,Quentin Durand,9074999565,Bank Account,Deutsche Bank,9,841,12
2145921803,30244148,Alice Laurent,8964640525,Custodian Account,BNP Paribas,36,731,13
5871743247,46632757,Chloe Dubois,5612201744,Custodian Account,BNP Paribas,31,1137,14
5693307665,10226999,Yara Michel,3347621138,Bank Account,Deutsche Bank,21,674,15
2625792787,74019136,Oscar Girard,2880160025,Custodian Account,Deutsche Bank,36,785,16
9894264595,41523529,Emma Michel,3948284698,Bank Account,Deutsche Bank,34,755,17
1248786714,37760841,Farid Richard,2463320861,Custodian Account,Deutsche Bank,23,1130,18
4131356954,61410126,Chloe Leroy,5464285982,Bank Account,BNP Paribas,9,909,19
8478529823,98986321,Rania Dubois,4097892639,Bank Account,Deutsche Bank,11,944,20
4888749350,43183955,Bruno Guerin,2784572192,Bank Account,Deutsche Bank,3,870,21
7597996327,10054484,Giulia Mercier,2335901990,Custodian Account,Deutsche Bank,32,895,22
9292791081,55076693,Jonas David,3370788647,Bank Account,BNP Paribas,20,1063,23
6317189421,44917589,Wafa Bernard,7313226025,Bank Account,BNP Paribas,27,1094,24
3196545325,26288475,Giulia Simon,7858164010,Bank Account,BNP Paribas,21,952,25
8235363119,75529051,Emma Mercier,4275930923,Custodian Account,Deutsche Bank,21,845,26
1667779376,72363359,David Leroy,3504640817,Custodian Account,Deutsche Bank,10,698,27
4696689457,16740197,Jonas Lefevre,4433026356,Custodian Account,Deutsche Bank,11,934,28
1470939445,93638503,Xavier Simon,5014170428,Bank Account,Deutsche Bank,32,1126,29
6488854841,83542887,Paul Garnier,6532043071,Custodian Account,BNP Paribas,2,691,30
8316648259,57212267,Quentin Garcia,9642614082,Bank Account,Deutsche Bank,38,960,31
9526836552,38716269,Bruno Moreau,6339955011,Custodian Account,BNP Paribas,19,1148,32
9986353481,43859311,David Michel,2065972034,Bank Account,BNP Paribas,24,1011,33
5278201677,58884978,Bruno Lefevre,2849785671,Bank Account,Deutsche Bank,24,894,34
2274350418,38408562,Maya Bertrand,3028168523,Custodian Account,BNP Paribas,40,720,35
9807209816,71968116,David Lefevre,8324687182,Custodian Account,BNP Paribas,36,973,36
9691572571,66431351,Emma Petit,8960015186,Custodian Account,Deutsche Bank,3,638,37
2811967841,19774839,Wafa Simon,6932342612,Custodian Account,BNP Paribas,10,1126,38
6009268066,46468984,Klara Chevalier,1773338452,Custodian Account,Deutsche Bank,26,905,39
3660223333,32151928,Klara Bertrand,5985704790,Custodian Account,BNP Paribas,31,616,40
4590711152,99600766,Klara Girard,4734910807,Bank Account,BNP Paribas,38,914,41
5067116918,93115778,Wafa Morel,9624715092,Bank Account,BNP Paribas,17,832,42
5931025271,47220099,Bruno Vincent,6001680218,Custodian Account,Deutsche Bank,34,988,43
7805745017,44788100,Victor Durand,8792122716,Bank Account,Deutsche Bank,13,618,44
2445662585,50079111,Klara Michel,7614170462,Bank Account,BNP Paribas,14,1019,45
8293453178,79519112,Yara Fournier,2062073697,Custodian Account,Deutsche Bank,9,1130,46
5951406973,72732043,Rania Simon,5201928545,Custodian Account,BNP Paribas,21,776,47
4466589567,67062156,Rania Simon,5054834021,Custodian Account,BNP Paribas,40,1094,48
