SourceId,SourceID_Account,PublisherID_Account,SourceID_ReportsToId,Salutation,FirstName,LastName,Name,Title,Department,Phone,MobilePhone,HomePhone,OtherPhone,Fax,Email,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,Birthdate,Description,FDN_LeadSource,CleanStatus,IsPersonAccount
0037F00000JRNnZQAX,0017F00000N8zXeQAJ,SFDC,,Ms.,Ashley,James,Ashley James,"VP, Finance",Finance,+44 191 4956203,+44 191 3456234,,,+44 191 4956620,ajames@uog.com,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,,,,,,"Mar 3, 1944",,Public Relations,Pending,FALSE
0037F00000JRNnaQAH,0017F00000N8zXfQAJ,SFDC,,Mr.,Tom,Ripley,Tom Ripley,Regional General Manager,Executive Team,(650) 450-8810,(650) 345-7636,,,(650) 450-8820,tripley@uog.com,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,,,"May 18, 1948",,Public Relations,Pending,FALSE
0037F00000JRNnbQAH,0017F00000N8zXfQAJ,SFDC,,Ms.,Liz,D'Cruz,Liz D'Cruz,"VP, Production",Production,(650) 450-8810,(650) 345-6637,,,(650) 450-8820,ldcruz@uog.com,"10 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,,,"Aug 29, 1959",,Public Relations,Pending,FALSE
0037F00000JRNncQAH,0017F00000N8zXgQAJ,SFDC,,Ms.,Edna,Frank,Edna Frank,"VP, Technology",Technology,(650) 867-3450,(650) 867-7686,,,(650) 867-9895,efrank@total.com,"345 Shoreline Park
Mountain View, CA 94043
USA",,,,,,,,,,"Feb 2, 1940",,Partner,Pending,FALSE
0037F00000JRNndQAH,0017F00000N8zXbQAJ,SFDC,,Mr.,Avi,Green,Avi Green,CFO,Finance,(212) 842-5511,(212) 842-2383,,,(212) 842-5501,agreen@uog.com,"1302 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,,,"Jun 23, 1931",,Public Relations,Pending,FALSE
0037F00000JRNnYQAX,0017F00000N8zXbQAJ,SFDC,,Mr.,Arthur,Song,Arthur Song,CEO,Executive Team,(212) 842-5500,(212) 842-4535,,,(212) 842-5501,asong@uog.com,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,,,"Jul 7, 1949",,Public Relations,Pending,FALSE
0037F00000JRNnMQAX,0017F00000N8zXWQAZ,SFDC,,Ms.,ROSE,GONZALEZ,ROSE GONZALEZ,"SVP, Procurement",Procurement,(512) 757-6000,(512) 757-9340,,,(512) 757-9000,rose.gonzalez@bose.com,,Austin,TX,78767,United States,,,,,,"Nov 23, 1965",,Trade Show,Pending,FALSE
0037F00000JRNnNQAX,0017F00000N8zXWQAZ,SFDC,,Mr.,SEAN,FORBES,SEAN FORBES,CFO,Finance,(512) 757-6222,(512) 757-4561,,,(512) 757-9000,sean.forbes@bose.com,,Austin,TX,78767,United States,,,,,,"Aug 21, 1944",,Trade Show,Pending,FALSE
0037F00000JRNnOQAX,0017F00000N8zXXQAZ,SFDC,,Mr.,Jack,Rogers,Jack Rogers,"VP, Facilities",,(336) 222-7022,,,,(336) 222-8000,jrogers@burlington.com,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,,,,,Web,Pending,FALSE
0037F00000JRNnPQAX,0017F00000N8zXYQAZ,SFDC,,Ms.,PAT,STUMULLER,PAT STUMULLER,"SVP, Administration and Finance",Finance,144274411,144546364,,,(014) 427-4428,pat.stumuller@saintgobain.com,Place Jussieu 2,Paris,IDF,75005,France,2 Place Jussieu,Paris,Île-de-France,75005,France,,,,Pending,FALSE
