SourceId,IsConverted,ConvertedDate,PublisherID_ConvertedAccount,SourceID_ConvertedAccount,PublisherID_ConvertedContact,SourceID_ConvertedContact,PublisherID_ConvertedOpportunity,SourceID_ConvertedOpportunity,Salutation,FirstName,LastName,Name,Title,Company,Industry,AnnualRevenue,NumberOfEmployees,Website,Fax,Phone,MobilePhone,Email,Street,City,State,PostalCode,Country,Status,Rating,LeadSource,Description,CleanStatus
00Q7F000004CQaOUAW,FALSE,,,,,,,,Ms.,Bertha,Boxer,Bertha Boxer,Director of Vendor Relations,Farmers Coop. of Florida,Agriculture,9.0075E8,,,(850) 644-4300,(850) 644-4200,,bertha@fcof.net,321 Westcott Building,Tallahassee,FL,32306,USA,Working - Contacted,Hot,Web,,Pending
00Q7F000004CQaPUAW,FALSE,,,,,,,,Ms,Phyllis,Cotton,Phyllis Cotton,CFO,Abbott Insurance,,,,,,(703) 757-1000,,pcotton@abbottins.net,,,VA,,USA,Open - Not Contacted,,Web,,Pending
00Q7F000004CQaQUAW,FALSE,,,,,,,,Mr,Jeff,Glimpse,Jeff Glimpse,"SVP, Procurement",Jackson Controls,,,,,,886-2-25474189,,jeffg@jackson.com,,,,,Taiwan,Open - Not Contacted,,Phone Inquiry,,Pending
00Q7F000004CQaRUAW,FALSE,,,,,,,,Mr,Mike,Braund,Mike Braund,"VP, Technology",Metropolitan Health Services,,,,,,(410) 381-2334,,likeb@metro.com,,,MD,,USA,Open - Not Contacted,,Purchased List,,Pending
00Q7F000004CQaSUAW,FALSE,,,,,,,,Ms,Patricia,Feager,Patricia Feager,CEO,International Shipping Co.,,,,,,(336) 777-1970,,patricia_feager@is.com,,,NC,,USA,Working - Contacted,,Partner Referral,,Pending
00Q7F000004CQaTUAW,FALSE,,,,,,,,Ms,Brenda,Mcclure,Brenda Mcclure,CFO,Cadinal Inc.,,,,,,(847) 262-5000,,brenda@cardinal.net,,,IL,,USA,Working - Contacted,,Web,,Pending
00Q7F000004CQaUUAW,FALSE,,,,,,,,Ms,Violet,Maccleod,Violet Maccleod,"VP, Finance",Emerson Transport,,,,,,(770) 395-2370,,violetm@emersontransport.com,,,GA,,USA,Working - Contacted,,Phone Inquiry,,Pending
00Q7F000004CQaVUAW,FALSE,,,,,,,,Ms,Kathy,Snyder,Kathy Snyder,Regional General Manager,TNR Corp.,,,,,,(860) 273-0123,,ksynder@tnr.net,,,CT,,USA,Working - Contacted,,Purchased List,,Pending
00Q7F000004CQaWUAW,FALSE,,,,,,,,Mr,Tom,James,Tom James,"SVP, Production",Delphi Chemicals,,,,,,(952) 346-3500,,tom.james@delphi.chemicals.com,,,MN,,USA,Working - Contacted,,Web,,Pending
00Q7F000004CQaXUAW,FALSE,,,,,,,,Ms,Shelly,Brownell,Shelly Brownell,"SVP, Technology",Western Telecommunications Corp.,,,,,,(408) 326-9000,,shellyb@westerntelecom.com,,,CA,,USA,Working - Contacted,,Partner Referral,,Pending
00Q7F000004CQaYUAW,FALSE,,,,,,,,Ms,Pamela,Owenby,Pamela Owenby,"SVP, Technology",Hendrickson Trading,,,,,,(570) 326-1571,,pam_owenby@hendricksontrading.com,,,PA,,USA,Closed - Not Converted,,Partner Referral,,Pending
00Q7F000004CQaZUAW,FALSE,,,,,,,,Mr,Norm,May,Norm May,"VP, Facilities",Greenwich Media,,,,,,(419) 289-3555,,norm_may@greenwich.net,,,OH,,USA,Working - Contacted,,Web,,Pending
