"AddressID","FDN_Customer","AddressType","Street","City","PostalCode","Country","State","ValidFrom","ValidTo","IsCurrent","PublisherID"
"ADDR1101","CUST0001","Home","123 Main Avenue","New York City","10001-2","USA","NY","01-01-2020","","TRUE","ERP"
"ADDR1102","CUST0002","Registered","456 Corporate Av","London","EC1A-1BB","UK","","10-05-2010","","TRUE","WEB"
"ADDR1103","CUST0003","Home","789 Elm Avenue","Manchester City","M1 1AE-2","UK","","15-03-2012","","TRUE","CRM"
"ADDR1104","CUST0004","Home","321 Oak Av","Toronto","Toronto-M5H2N2","Canada","ON","20-06-2016","","TRUE","ERP"
"ADDR1105","CUST0005","Registered","654 Business Av","Birmingham","B1 1AA-2","UK","","22-07-2011","","TRUE","WEB"
"ADDR1106","CUST0006","Home","222 Pine Av","Sydney","Sydney-2000","Australia","NSW","30-08-2017","","TRUE","CRM"
"ADDR1107","CUST0007","Registered","333 Tech Avenue","Ottawa","Ottawa-K1A0B1","Canada","ON","30-11-2012","","TRUE","ERP"
"ADDR1108","CUST0008","Home","444 Maple Av","Los Angeles","90001-2","USA","CA","10-09-2018","","TRUE","WEB"
"ADDR1109","CUST0009","Home","555 Cedar Av","Liverpool","L1 8JQ-2","UK","","12-10-2013","","TRUE","CRM"
"ADDR1110","CUST0010","Registered","777 Industry Av","Chicago","60601-2","USA","IL","10-05-2013","","TRUE","ERP"
"ADDR1111","CUST0011","Home","1011 New Av","New York","10011-2","USA","NY","11-01-2020","","TRUE","WEB"
"ADDR1112","CUST0012","Registered","1212 Corp Avenue","London","EC1A-1CC","UK","","12-05-2010","","TRUE","CRM"
"ADDR1113","CUST0013","Home","1313 Oak Av","Manchester","M1 1BB-2","UK","","16-03-2012","","TRUE","ERP"
"ADDR1114","CUST0014","Home","1414 Pine Avenue","Toronto","M5H2N3-2","Canada","ON","21-06-2016","","TRUE","WEB"
"ADDR1115","CUST0015","Registered","1515 Biz Avenue","Birmingham","B1 1BB-2","UK","","23-07-2011","","TRUE","CRM"
"ADDR1116","CUST0016","Home","1616 Cedar Avenue","Sydney","2001-2","Australia","NSW","31-08-2017","","TRUE","ERP"
"ADDR1117","CUST0017","Registered","1717 Tech Avenue","Ottawa","K1A0B2-2","Canada","ON","01-12-2012","","TRUE","WEB"
"ADDR1118","CUST0018","Home","1818 Maple Avenue","Los Angeles","90002-2","USA","CA","11-09-2018","","TRUE","CRM"
"ADDR1119","CUST0019","Home","1919 Cedar Avenue","Liverpool","L1 8JR-2","UK","","13-10-2013","","TRUE","ERP"
"ADDR1120","CUST0020","Registered","2020 Industry Avenue","Chicago","60602-2","USA","IL","11-05-2013","","TRUE","WEB"
"ADDR1121","CUST0021","Home","1021 Main Avenue","New York","10021-2","USA","NY","21-01-2020","","TRUE","CRM"
"ADDR1122","CUST0022","Registered","2222 Corp Avenue","London","EC1A-1DD","UK","","22-05-2010","","TRUE","ERP"
"ADDR1123","CUST0023","Home","2323 Elm Avenue","","M1 1CC-2","UK","","23-03-2012","","TRUE","WEB"
"ADDR1124","CUST0024","Home","2424 Oak Avenue","Toronto","M5H2N4-2","Canada","ON","24-06-2016","","TRUE","CRM"
"ADDR1125","CUST0025","Registered","2525 Biz Avenue","Birmingham","B1 1CC-2","UK","","25-07-2011","","TRUE","ERP"
"ADDR1126","CUST0026","Home","2626 Cedar Avenue","Sydney","2002-2","Australia","NSW","26-08-2017","","TRUE","WEB"
"ADDR1127","CUST0027","Registered","2727 Tech Avenue","Ottawa","K1A0B3-2","Canada","ON","27-12-2012","","TRUE","CRM"
"ADDR1128","CUST0028","Home","2828 Maple Avenue","Los Angeles","90003-2","USA","CA","28-09-2018","","TRUE","ERP"
"ADDR1129","CUST0029","Home","2929 Cedar Avenue","Liverpool","L1 8JS-2","UK","","29-10-2013","","TRUE","WEB"
"ADDR1130","CUST0030","Registered","3030 Industry Avenue","Chicago","60603-2","USA","IL","30-05-2013","","TRUE","CRM"
"ADDR1131","CUST0031","Home","3131 Main Avenue","New York","10031-2","USA","NY","31-01-2020","","TRUE","ERP"
"ADDR1132","CUST0032","Registered","3232 Corp Avenue","London","EC1A-1EE","UK","","30-05-2010","","TRUE","WEB"
"ADDR1133","CUST0033","Home","3333 Elm Avenue","Manchester","M1 1DD-2","UK","","30-03-2012","","TRUE","CRM"
"ADDR1134","CUST0034","Home","3434 Oak Avenue","Toronto","M5H2N5-2","Canada","ON","30-06-2016","","TRUE","ERP"
"ADDR1135","CUST0035","Registered","3535 Biz Avenue","Birmingham","B1 1DD-2","UK","","30-07-2011","","TRUE","WEB"
"ADDR1136","CUST0036","Home","3636 Cedar Avenue","Sydney","2003-2","","NSW","30-08-2017","","TRUE","CRM"
"ADDR1137","CUST0037","Registered","3737 Tech Avenue","Ottawa","K1A0B4-2","Canada","ON","30-12-2012","","TRUE","ERP"
"ADDR1138","CUST0038","Home","3838 Maple Avenue","Los Angeles","90004-2","USA","CA","30-09-2018","","TRUE","WEB"
"ADDR1139","CUST0039","Home","3939 Cedar Avenue","Liverpool","L1 8JT-2","UK","","30-10-2013","","TRUE","CRM"
"ADDR1140","CUST0040","Registered","4040 Industry Avenue","Chicago","60604-2","USA","IL","30-05-2013","","TRUE","ERP"
"ADDR1141","CUST0041","Home","4141 Main Avenue","New York","10041-2","USA","NY","30-01-2020","","TRUE","WEB"
"ADDR1142","CUST0042","Registered","4242 Corp Avenue","London","EC1A-1FF","UK","","30-05-2010","","TRUE","CRM"
"ADDR1143","CUST0043","Home","4343 Elm Avenue","Manchester","M1 1EE-2","UK","","30-03-2012","","TRUE","ERP"
"ADDR1144","CUST0044","Home","4444 Oak Avenue","Toronto","M5H2N6-2","Canada","ON","30-06-2016","","TRUE","WEB"
"ADDR1145","CUST0045","Registered","4545 Biz Avenue","Birmingham","B1 1EE-2","UK","","30-07-2011","","TRUE","CRM"
"ADDR1146","CUST0046","Home","4646 Cedar Avenue","Sydney","2004-2","Australia","NSW","30-08-2017","","TRUE","ERP"
"ADDR1147","CUST0047","Registered","4747 Tech Avenue","Ottawa","K1A0B5-2","Canada","ON","30-12-2012","","TRUE","WEB"
"ADDR1148","CUST0048","Home","4848 Maple Avenue","Los Angeles","90005-2","USA","CA","30-09-2018","","TRUE","CRM"
"ADDR1149","CUST0049","Home","4949 Cedar Avenue","Liverpool","L1 8JU-2","UK","","30-10-2013","","TRUE","ERP"
