"BankAccountID","FDN_Customer","BankName","AccountNumber","IBAN","AccountType","Currency","OpenDate","CloseDate","IsActive"
"BANK0001","CUST0001","First National Bank","10000001","US00FNBA0000000001","Checking","USD","01-01-2010","","TRUE"
"BANK0002","CUST0002","London Bank","20000001","GB00LONB0000000001","Corporate","GBP","10-05-2010","","TRUE"
"BANK0003","CUST0003","Manchester Bank","30000001","GB00MANB0000000001","Savings","GBP","15-03-2012","","TRUE"
"BANK0004","CUST0004","Toronto Bank","40000001","CA00TORB0000000001","Checking","CAD","20-06-2016","","TRUE"
"BANK0005","CUST0005","Birmingham Bank","50000001","GB00BIRB0000000001","Corporate","GBP","22-07-2011","","TRUE"
"BANK0006","CUST0006","Sydney Bank","60000001","AU00SYDB0000000001","Checking","AUD","30-08-2017","","TRUE"
"BANK0007","CUST0007","Ottawa Bank","70000001","CA00OTWB0000000001","Corporate","CAD","30-11-2012","","TRUE"
"BANK0008","CUST0008","LA Bank","80000001","US00LABA0000000001","Checking","USD","10-09-2018","","TRUE"
"BANK0009","CUST0009","Liverpool Bank","90000001","GB00LIVB0000000001","Savings","GBP","12-10-2013","","TRUE"
"BANK0010","CUST0010","Chicago Bank","100000002","US00CHIB0000000002","Corporate","USD","10-05-2013","","TRUE"
"BANK0011","CUST0011","First National Bank","10000011","US00FNBA0000000011","Checking","USD","01-01-2014","","TRUE"
"BANK0012","CUST0012","London Bank","20000012","GB00LONB0000000012","Corporate","GBP","22-07-2014","","TRUE"
"BANK0013","CUST0013","Manchester Bank","30000013","GB00MANB0000000013","Savings","GBP","15-03-2015","","TRUE"
"BANK0014","CUST0014","Toronto Bank","40000014","CA00TORB0000000014","Checking","CAD","20-06-2016","","TRUE"
"BANK0015","CUST0015","Birmingham Bank","50000015","GB00BIRB0000000015","Corporate","GBP","22-07-2015","","TRUE"
"BANK0016","CUST0016","Sydney Bank","60000016","AU00SYDB0000000016","Checking","AUD","30-08-2017","","TRUE"
"BANK0017","CUST0017","Ottawa Bank","70000017","CA00OTWB0000000017","Corporate","CAD","30-11-2016","","TRUE"
"BANK0018","CUST0018","LA Bank","80000018","US00LABA0000000018","Checking","USD","10-09-2018","","TRUE"
"BANK0019","CUST0019","Liverpool Bank","90000019","GB00LIVB0000000019","Savings","GBP","12-10-2019","","TRUE"
"BANK0020","CUST0020","Chicago Bank","10000020","US00CHIB0000000020","Corporate","USD","10-05-2017","","TRUE"
"BANK0021","CUST0021","First National Bank","10000021","US00FNBA0000000021","Checking","USD","21-01-2014","","TRUE"
"BANK0022","CUST0022","London Bank","20000022","GB00LONB0000000022","Corporate","GBP","22-07-2014","","TRUE"
