"ContactID","FDN_Customer","ContactType","ContactValue","IsPrimary","IsVerified","ValidFrom","ValidTo","Notes","Preferred"
"CI0001","CUST0001","Email","john.smith@nyc.com","TRUE","TRUE","10-01-2022","","","False"
"CI0002","CUST0001","Phone","+12125550101","TRUE","TRUE","10-01-2022","","No answer","TRUE"
"CI0003","CUST0002","Email","info@acmecorp.co.uk","TRUE","TRUE","11-01-2022","","Invalid","TRUE"
"CI0004","CUST0002","Phone","+442071234567","TRUE","TRUE","11-01-2022","","","False"
"CI0005","CUST0003","Email","jane.doe@manchester.com","TRUE","TRUE","12-01-2022","","No answer","TRUE"
"CI0006","CUST0003","Phone","+441612345678","TRUE","TRUE","12-01-2022","","Invalid","TRUE"
"CI0007","CUST0004","Email","michael.brown@toronto.ca","TRUE","TRUE","13-01-2022","","","False"
"CI0008","CUST0004","Phone","+14165550102","TRUE","TRUE","13-01-2022","","No answer","TRUE"
"CI0009","CUST0005","Email","info@globexinc.co.uk","TRUE","TRUE","14-01-2022","","Invalid","TRUE"
"CI0010","CUST0005","Phone","+441211234567","TRUE","TRUE","14-01-2022","","","False"
"CI0011","CUST0006","Email","emily.clark@sydney.au","TRUE","TRUE","15-01-2022","","No answer","TRUE"
"CI0012","CUST0006","Phone","+61412345678","TRUE","TRUE","15-01-2022","","Invalid","TRUE"
"CI0013","CUST0007","Email","info@initechltd.ca","TRUE","TRUE","16-01-2022","","","False"
"CI0014","CUST0007","Phone","+16135550103","TRUE","TRUE","16-01-2022","","No answer","TRUE"
"CI0015","CUST0008","Email","david.wilson@la.com","TRUE","TRUE","17-01-2022","","Invalid","TRUE"
"CI0016","CUST0008","Phone","+12135550104","TRUE","TRUE","17-01-2022","","","False"
"CI0017","CUST0009","Email","linda.johnson@liverpool.uk","TRUE","TRUE","18-01-2022","","No answer","TRUE"
"CI0018","CUST0009","Phone","+441512345678","TRUE","TRUE","18-01-2022","","Invalid","TRUE"
"CI0019","CUST0010","","info@starkindustries.com","TRUE","TRUE","19-01-2022","","","False"
"CI0020","CUST0010","Phone","+13125550105","TRUE","TRUE","19-01-2022","","No answer","TRUE"
"CI0021","CUST0011","Email","robert.lee@ny.com","TRUE","TRUE","20-01-2022","","Invalid","TRUE"
"CI0022","CUST0011","Phone","+12125550106","TRUE","TRUE","20-01-2022","","","False"
"CI0023","CUST0012","Email","info@wayneenterprises.co.uk","TRUE","TRUE","21-01-2022","","No answer","TRUE"
"CI0024","CUST0012","Phone","+442071234568","TRUE","TRUE","21-01-2022","","Invalid","TRUE"
"CI0025","CUST0013","Email","patricia.walker@manchester.com","TRUE","TRUE","22-01-2022","","","False"
"CI0026","CUST0013","Phone","+441612345679","TRUE","TRUE","22-01-2022","","No answer","TRUE"
"CI0027","CUST0014","Email","james.hall@toronto.ca","TRUE","TRUE","23-01-2022","","Invalid","TRUE"
"CI0028","CUST0014","Phone","+14165550107","TRUE","TRUE","23-01-2022","","","False"
"CI0029","CUST0015","Email","info@oscorp.ca","TRUE","TRUE","24-01-2022","","No answer","TRUE"
"CI0030","CUST0015","Phone","+14165550108","TRUE","TRUE","24-01-2022","","Invalid","TRUE"
"CI0031","CUST0016","Email","barbara.allen@sydney.au","TRUE","TRUE","25-01-2022","","","False"
"CI0032","CUST0016","Phone","+61412345679","TRUE","TRUE","25-01-2022","","No answer","TRUE"
"CI0033","CUST0017","Email","info@lexcorp.au","TRUE","TRUE","26-01-2022","","Invalid","TRUE"
"CI0034","CUST0017","Phone","+61312345678","TRUE","TRUE","26-01-2022","","","False"
"CI0035","CUST0018","Email","william.young@la.com","TRUE","TRUE","27-01-2022","","No answer","TRUE"
"CI0036","CUST0018","Phone","+12135550109","TRUE","TRUE","27-01-2022","","Invalid","TRUE"
"CI0037","CUST0019","Email","elizabeth.hernandez@liverpool.uk","TRUE","TRUE","28-01-2022","","","False"
"CI0038","CUST0019","Phone","+441512345679","TRUE","TRUE","28-01-2022","","No answer","TRUE"
"CI0039","CUST0020","Email","info@wonkaindustries.com","TRUE","TRUE","29-01-2022","","Invalid","TRUE"
"CI0040","CUST0020","Phone","+13125550110","TRUE","TRUE","29-01-2022","","","False"
"CI0041","CUST0021","Email","richard.king@nyc.com","TRUE","TRUE","30-01-2022","","No answer","TRUE"
"CI0042","CUST0021","Phone","+12125550111","TRUE","TRUE","30-01-2022","","Invalid","TRUE"
"CI0043","CUST0022","Email","info@tyrellcorp.co.uk","TRUE","TRUE","31-01-2022","","","False"
"CI0044","CUST0022","Phone","+442071234569","TRUE","TRUE","31-01-2022","","No answer","TRUE"
"CI0045","CUST0023","Email","susan.wright@manchester.com","TRUE","TRUE","01-02-2022","","Invalid","TRUE"
"CI0046","CUST0023","Phone","+441612345680","TRUE","TRUE","01-02-2022","","","False"
"CI0047","CUST0024","Email","joseph.lopez@toronto.ca","TRUE","TRUE","02-02-2022","","No answer","TRUE"
"CI0048","CUST0024","Phone","+14165550112","TRUE","TRUE","02-02-2022","","Invalid","TRUE"
"CI0049","CUST0025","Email","info@gringottsbank.ca","TRUE","TRUE","03-02-2022","","","False"
"CI0050","CUST0025","Phone","+14165550113","TRUE","TRUE","03-02-2022","","No answer","TRUE"
"CI0051","CUST0026","Email","karen.scott@sydney.au","TRUE","TRUE","04-02-2022","","Invalid","TRUE"
"CI0052","CUST0026","Phone","+61412345680","TRUE","TRUE","04-02-2022","","","False"
"CI0053","CUST0027","Email","info@blackmesa.au","TRUE","TRUE","05-02-2022","","No answer","TRUE"
"CI0054","CUST0027","Phone","+61312345679","TRUE","TRUE","05-02-2022","","Invalid","TRUE"
"CI0055","CUST0028","Email","thomas.green@la.com","TRUE","TRUE","06-02-2022","","","False"
"CI0056","CUST0028","Phone","+12135550114","TRUE","TRUE","06-02-2022","","No answer","TRUE"
"CI0057","CUST0029","Email","nancy.adams@liverpool.uk","TRUE","TRUE","07-02-2022","","Invalid","TRUE"
"CI0058","CUST0029","Phone","+441512345680","TRUE","TRUE","07-02-2022","","","False"
"CI0059","CUST0030","Email","info@bluesuncorp.com","TRUE","TRUE","08-02-2022","","No answer","TRUE"
"CI0060","CUST0030","Phone","+13125550115","TRUE","TRUE","08-02-2022","","Invalid","TRUE"
"CI0061","CUST0031","Email","charles.baker@nyc.com","TRUE","TRUE","09-02-2022","","","False"
"CI0062","CUST0031","Phone","+12125550116","TRUE","TRUE","09-02-2022","","No answer","TRUE"
"CI0063","CUST0032","Email","info@massivedynamic.co.uk","TRUE","TRUE","10-02-2022","","Invalid","TRUE"
"CI0064","CUST0032","Phone","+442071234570","TRUE","TRUE","10-02-2022","","","False"
"CI0065","CUST0033","Email","mary.gonzalez@manchester.com","TRUE","TRUE","11-02-2022","","No answer","TRUE"
"CI0066","CUST0033","Phone","+441612345681","TRUE","TRUE","11-02-2022","","Invalid","TRUE"
"CI0067","CUST0034","Email","christopher.nelson@toronto.ca","TRUE","TRUE","12-02-2022","","","False"
"CI0068","CUST0034","Phone","+14165550117","TRUE","TRUE","12-02-2022","","No answer","TRUE"
"CI0069","CUST0035","Email","info@veidtindustries.ca","TRUE","TRUE","13-02-2022","","Invalid","TRUE"
"CI0070","CUST0035","Phone","+14165550118","TRUE","TRUE","13-02-2022","","","False"
"CI0071","CUST0036","Email","jessica.carter@sydney.au","TRUE","TRUE","14-02-2022","","No answer","TRUE"
"CI0072","CUST0036","Phone","+61412345681","TRUE","TRUE","14-02-2022","","Invalid","TRUE"
"CI0073","CUST0037","Email","info@paperco.au","TRUE","TRUE","15-02-2022","","","False"
"CI0074","CUST0037","Phone","+61312345680","TRUE","TRUE","15-02-2022","","No answer","TRUE"
"CI0075","CUST0038","Email","daniel.mitchell@la.com","TRUE","TRUE","16-02-2022","","Invalid","TRUE"
"CI0076","CUST0038","Phone","+12135550119","TRUE","TRUE","16-02-2022","","","False"
"CI0077","CUST0039","Email","sarah.perez@liverpool.uk","TRUE","TRUE","17-02-2022","","No answer","TRUE"
"CI0078","CUST0039","Phone","+441512345681","TRUE","TRUE","17-02-2022","","Invalid","TRUE"
"CI0079","CUST0040","Email","info@prestigeworldwide.com","TRUE","TRUE","18-02-2022","","","False"
"CI0080","CUST0040","Phone","+13125550120","TRUE","TRUE","18-02-2022","","No answer","TRUE"
"CI0081","CUST0041","Email","matthew.roberts@nyc.com","TRUE","TRUE","19-02-2022","","Invalid","TRUE"
"CI0082","CUST0041","Phone","+12125550121","TRUE","TRUE","19-02-2022","","","False"
"CI0083","CUST0042","Email","info@bluthcompany.co.uk","TRUE","TRUE","20-02-2022","","No answer","TRUE"
"CI0084","CUST0042","Phone","+442071234571","TRUE","TRUE","20-02-2022","","Invalid","TRUE"
"CI0085","CUST0043","Email","ashley.turner@manchester.com","TRUE","TRUE","21-02-2022","","","False"
"CI0086","CUST0043","Phone","+441612345682","TRUE","TRUE","21-02-2022","","No answer","TRUE"
"CI0087","CUST0044","Email","anthony.phillips@toronto.ca","TRUE","TRUE","22-02-2022","","Invalid","TRUE"
"CI0088","CUST0044","Phone","+14165550122","TRUE","TRUE","22-02-2022","","","False"
"CI0089","CUST0045","Email","info@goodburger.ca","TRUE","TRUE","23-02-2022","","No answer","TRUE"
"CI0090","CUST0045","Phone","+14165550123","TRUE","TRUE","23-02-2022","","Invalid","TRUE"
"CI0091","CUST0046","Email","kimberly.campbell@sydney.au","TRUE","TRUE","24-02-2022","","","False"
"CI0092","CUST0046","Phone","+61412345682","TRUE","TRUE","24-02-2022","","No answer","TRUE"
"CI0093","CUST0047","Email","info@monstersinc.au","TRUE","TRUE","25-02-2022","","Invalid","TRUE"
"CI0094","CUST0047","Phone","+61312345681","TRUE","TRUE","25-02-2022","","","False"
"CI0095","CUST0048","Email","mark.parker@la.com","TRUE","TRUE","26-02-2022","","No answer","TRUE"
"CI0096","CUST0048","Phone","+12135550124","TRUE","TRUE","26-02-2022","","Invalid","TRUE"
"CI0097","CUST0049","Email","donna.evans@liverpool.uk","TRUE","TRUE","27-02-2022","","","False"
"CI0098","CUST0049","Phone","+441512345682","TRUE","TRUE","27-02-2022","","No answer","TRUE"
"CI0099","CUST0050","Email","info@oceanicairlines.com","TRUE","TRUE","28-02-2022","","Invalid","TRUE"
"CI0100","CUST0050","Phone","+13125550125","TRUE","TRUE","28-02-2022","","","False"
"CI0101","CUST0051","Email","steven.edwards@nyc.com","TRUE","TRUE","01-03-2022","","No answer","TRUE"
"CI0102","CUST0051","Phone","+12125550126","TRUE","TRUE","01-03-2022","","Invalid","TRUE"
"CI0103","CUST0052","Email","info@acmewidgets.co.uk","TRUE","TRUE","02-03-2022","","","False"
"CI0104","CUST0052","Phone","+442071234572","TRUE","TRUE","02-03-2022","","No answer","TRUE"
"CI0105","CUST0053","Email","michelle.collins@manchester.com","TRUE","TRUE","03-03-2022","","Invalid","TRUE"
"CI0106","CUST0053","Phone","+441612345683","TRUE","TRUE","03-03-2022","","","False"
"CI0107","CUST0054","Email","paul.stewart@toronto.ca","TRUE","TRUE","04-03-2022","","No answer","TRUE"
"CI0108","CUST0054","Phone","+14165550127","TRUE","TRUE","04-03-2022","","Invalid","TRUE"
"CI0109","CUST0055","Email","info@globexfoods.ca","TRUE","TRUE","05-03-2022","","","False"
"CI0110","CUST0055","Phone","+14165550128","TRUE","TRUE","05-03-2022","","No answer","TRUE"
"CI0111","CUST0056","Email","laura.sanchez@sydney.au","TRUE","TRUE","06-03-2022","","Invalid","TRUE"
"CI0112","CUST0056","Phone","+61412345683","TRUE","TRUE","06-03-2022","","","False"
"CI0113","CUST0057","Email","info@initechservices.au","TRUE","TRUE","07-03-2022","","No answer","TRUE"
"CI0114","CUST0057","Phone","+61312345682","TRUE","TRUE","07-03-2022","","Invalid","TRUE"
"CI0115","CUST0058","Email","andrew.morris@la.com","TRUE","TRUE","08-03-2022","","","False"
"CI0116","CUST0058","Phone","+12135550129","TRUE","TRUE","08-03-2022","","No answer","TRUE"
"CI0117","CUST0059","Email","angela.rogers@liverpool.uk","TRUE","TRUE","09-03-2022","","Invalid","TRUE"
"CI0118","CUST0059","Phone","+441512345683","TRUE","TRUE","09-03-2022","","","False"
"CI0119","CUST0060","Email","info@starksolutions.com","TRUE","TRUE","10-03-2022","","No answer","TRUE"
"CI0120","CUST0060","Phone","+13125550130","TRUE","TRUE","10-03-2022","","Invalid","TRUE"
"CI0121","CUST0061","Email","joshua.reed@nyc.com","TRUE","TRUE","11-03-2022","","","False"
"CI0122","CUST0061","Phone","+12125550131","TRUE","TRUE","11-03-2022","","No answer","TRUE"
"CI0123","CUST0062","Email","info@waynetech.co.uk","TRUE","TRUE","12-03-2022","","Invalid","TRUE"
"CI0124","CUST0062","Phone","+442071234573","TRUE","TRUE","12-03-2022","","","False"
"CI0125","CUST0063","Email","melissa.cook@manchester.com","TRUE","TRUE","13-03-2022","","No answer","TRUE"
"CI0126","CUST0063","Phone","+441612345684","TRUE","TRUE","13-03-2022","","Invalid","TRUE"
"CI0127","CUST0064","Email","kevin.morgan@toronto.ca","TRUE","TRUE","14-03-2022","","","False"
"CI0128","CUST0064","Phone","+14165550132","TRUE","TRUE","14-03-2022","","No answer","TRUE"
"CI0129","CUST0065","Email","info@oscorplabs.ca","TRUE","TRUE","15-03-2022","","Invalid","TRUE"
"CI0130","CUST0065","Phone","+14165550133","TRUE","TRUE","15-03-2022","","","False"
"CI0131","CUST0066","Email","amy.bell@sydney.au","TRUE","TRUE","16-03-2022","","No answer","TRUE"
"CI0132","CUST0066","Phone","+61412345684","TRUE","TRUE","16-03-2022","","Invalid","TRUE"
"CI0133","CUST0067","Email","info@lextech.au","TRUE","TRUE","17-03-2022","","","False"
