"DocumentID","FDN_Customer","DocumentType","DocumentNumber","IssueDate","ExpiryDate","IssuingCountry","IssuingAuthority","IsPrimary","IsVerified"
"DOC0001","CUST0001","Passport","P123456","01-01-2015","01-01-2025","USA","US Dept of State","TRUE","TRUE"
"DOC0002","CUST0003","National ID","NID789","15-03-2012","15-03-2022","UK","Home Office","TRUE","TRUE"
"DOC0003","CUST0004","Passport","P654321","20-06-2016","20-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0004","CUST0006","Passport","P111222","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0005","CUST0008","Passport","P333444","10-09-2018","10-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0006","CUST0009","National ID","NID456","12-10-2013","12-10-2023","UK","Home Office","TRUE","TRUE"
"DOC0007","CUST0011","Passport","P111011","01-01-2014","01-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0008","CUST0013","National ID","NID013","15-03-2015","15-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0009","CUST0014","Passport","P141414","20-06-2016","20-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0010","CUST0016","Passport","P161616","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0011","CUST0018","Passport","P181818","10-09-2018","10-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0012","CUST0019","National ID","NID019","12-10-2019","12-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0013","CUST0021","Passport","P212121","21-01-2014","21-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0014","CUST0023","National ID","NID023","23-03-2015","23-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0015","CUST0024","Passport","P242424","24-06-2016","24-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0016","CUST0026","Passport","P262626","26-08-2017","26-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0017","CUST0028","Passport","P282828","28-09-2018","28-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0018","CUST0029","National ID","NID029","29-10-2019","29-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0019","CUST0031","Passport","P313131","31-01-2014","31-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0020","CUST0033","National ID","NID033","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0021","CUST0034","Passport","P343434","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0022","CUST0036","Passport","P363636","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0023","CUST0038","Passport","P383838","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0024","CUST0039","National ID","NID039","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0025","CUST0041","Passport","P414141","30-01-2014","30-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0026","CUST0043","National ID","NID043","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0027","CUST0044","Passport","P444444","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0028","CUST0046","Passport","P464646","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0029","CUST0048","Passport","P484848","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0030","CUST0049","National ID","NID049","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0031","CUST0051","Passport","P515151","30-01-2014","30-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0032","CUST0053","National ID","NID053","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0033","CUST0054","Passport","P545454","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0034","CUST0056","Passport","P565656","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0035","CUST0058","Passport","P585858","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0036","CUST0059","National ID","NID059","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0037","CUST0061","Passport","P616161","30-01-2014","30-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0038","CUST0063","National ID","NID063","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0039","CUST0064","Passport","P646464","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0040","CUST0066","Passport","P666666","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0041","CUST0068","Passport","P686868","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0042","CUST0069","National ID","NID069","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0043","CUST0071","Passport","P717171","30-01-2014","30-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0044","CUST0073","National ID","NID073","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0045","CUST0074","Passport","P747474","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0046","CUST0076","Passport","P767676","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0047","CUST0078","Passport","P787878","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0048","CUST0079","National ID","NID079","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0049","CUST0081","Passport","P818181","30-01-2014","30-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0050","CUST0083","National ID","NID083","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0051","CUST0084","Passport","P848484","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0052","CUST0086","Passport","P868686","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0053","CUST0088","Passport","P888888","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0054","CUST0089","National ID","NID089","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
"DOC0055","CUST0091","Passport","P919191","30-01-2014","30-01-2024","USA","US Dept of State","TRUE","TRUE"
"DOC0056","CUST0093","National ID","NID093","30-03-2015","30-03-2025","UK","Home Office","TRUE","TRUE"
"DOC0057","CUST0094","Passport","P949494","30-06-2016","30-06-2026","Canada","CA Gov","TRUE","TRUE"
"DOC0058","CUST0096","Passport","P969696","30-08-2017","30-08-2027","Australia","AU Gov","TRUE","TRUE"
"DOC0059","CUST0098","Passport","P989898","30-09-2018","30-09-2028","USA","US Dept of State","TRUE","TRUE"
"DOC0060","CUST0099","National ID","NID099","30-10-2019","30-10-2029","UK","Home Office","TRUE","TRUE"
