"UBOID","SourceID_Corporation","PublisherID_Corporation","UBOName","UBOType","OwnershipPercentage","CountryOfResidence","DateOfBirth","IsPEP","Notes"
"UBO0001","ENT0001","ERP","John Smith","Individual","25.0","USA","10-05-1980","FALSE",""
"UBO0002","ENT0042","ERP","Acme Corp","Corporate","100.0","USA","","FALSE",""
"UBO0003","ENT0004","ERP","Jane Doe","Individual","30.0","UK","15-07-1990","FALSE",""
"UBO0004","ENT0045","ERP","Michael Brown","Individual","40.0","Canada","22-03-1985","FALSE",""
"UBO0005","ENT0007","ERP","Globex Inc","Corporate","100.0","UK","","FALSE",""
"UBO0006","ENT0048","ERP","Emily Clark","Individual","35.0","Australia","30-11-1992","FALSE",""
"UBO0007","ENT0010","ERP","Initech Ltd","Corporate","100.0","Canada","","FALSE",""
"UBO0008","ENT0051","ERP","David Wilson","Individual","20.0","USA","05-01-1978","FALSE",""
"UBO0009","ENT0013","ERP","Linda Johnson","Individual","15.0","UK","12-09-1988","FALSE",""
"UBO0010","ENT0054","ERP","Stark Industries","Corporate","100.0","USA","","FALSE",""
"UBO0011","ENT0016","ERP","Robert Lee","Individual","10.0","Canada","18-06-1983","FALSE",""
"UBO0012","ENT0057","ERP","Wayne Enterprises","Corporate","100.0","UK","","FALSE",""
"UBO0013","ENT0019","ERP","Patricia Walker","Individual","12.0","Australia","25-12-1995","FALSE",""
"UBO0014","ENT0060","ERP","James Hall","Individual","18.0","USA","02-04-1979","FALSE",""
"UBO0015","ENT0022","ERP","Oscorp","Corporate","100.0","Canada","","FALSE",""
"UBO0016","ENT0063","ERP","Barbara Allen","Individual","22.0","UK","19-08-1987","FALSE",""
"UBO0017","ENT0025","ERP","LexCorp","Corporate","100.0","Australia","","FALSE",""
"UBO0018","ENT0066","ERP","William Young","Individual","28.0","Canada","14-02-1982","FALSE",""
"UBO0019","ENT0028","ERP","Elizabeth Hernandez","Individual","35.0","Australia","23-10-1991","FALSE",""
