"Publisher ID","Source ID","HCP   (Publisher ID)","HCP   (Source ID)","SI Number","First Name","Middle Name","Last Name","Suffix","Gender","Birth Date","Death Date","Member IDX","Group ID","Home Phone","Marital Status","Group Name","Subscriber Relationship","Place Of Birth","Work Phone","Cell Phone","Email Address","Primary Physician ID","Street","City","State","Zip","Country","Member IDs (UMI)","Member IDs (en Gen Agreement Number)","Member IDs (en Gen Consumer ID)","Member IDs (Plan Partner ID)","Member IDs (Client Assigned Member ID)","Member IDs (PMI)","Member IDs (MNPP ID)","Member IDs (MNPP Member CK)","Member IDs (MAXIS)","Member IDs (Auth0 ID)","Member IDs (Clearstone ID)","Member IDs (BCBSAL ID)","Member IDs (DHS ID)","UMI","en Gen Agreement Number","en Gen Consumer ID","Plan Partner ID","Client Assigned Member ID","PMI","MNPP ID","MNPP Member CK","MAXIS","Auth0 ID","Clearstone ID","BCBSAL ID","DHS ID"
"ENC","1003","HCO_HCP","1","SI-100003","Richard","Valentine","Kurolvech","III","Male","8/23/1976","","M10000003","G1003","9109022169","Married","Group 4","Other","Springfield, AR","294182720","3520870914","richard_kurolvech@gmail.com","1","103 Main St","Dorchester Center","MA","10003","USA","umi-100003","engenagreementnumber-100003","engenconsumerid-100003","planpartnerid-100003","clientassignedmemberid-100003","pmi-100003","mnppid-100003","mnppmemberck-100003","maxis-100003","auth0id-100003","clearstoneid-100003","bcbsalid-100003","dhsid-100003","umi-100003","engenagreementnumber-100003","engenconsumerid-100003","planpartnerid-100003","clientassignedmemberid-100003","pmi-100003","mnppid-100003","mnppmemberck-100003","maxis-100003","auth0id-100003","clearstoneid-100003","bcbsalid-100003","dhsid-100003"
"ENC","1016","HCO_HCP","100","SI-100016","Ralph","O","Brown","Sr.","Male","4/26/1952","","M10000016","G1016","6954539942","Single","Group 17","Self","Springfield, KY","8198943488","7762135378","ralph_brown@aol.com","100","116 Main St","Livingston","NJ","10016","USA","umi-100016","engenagreementnumber-100016","engenconsumerid-100016","planpartnerid-100016","clientassignedmemberid-100016","pmi-100016","mnppid-100016","mnppmemberck-100016","maxis-100016","auth0id-100016","clearstoneid-100016","bcbsalid-100016","dhsid-100016","umi-100016","engenagreementnumber-100016","engenconsumerid-100016","planpartnerid-100016","clientassignedmemberid-100016","pmi-100016","mnppid-100016","mnppmemberck-100016","maxis-100016","auth0id-100016","clearstoneid-100016","bcbsalid-100016","dhsid-100016"
"ENC","1018","HCO_HCP","632","SI-100018","Homer","Daniel","Kruger","III","Male","3/16/1966","","M10000018","G1018","6923731934","Single","Group 19","Child","Springfield, MA","8630142361","5747206648","homer_kruger@aol.com","1018","118 Main St","Birmingham","AL","10018","USA","umi-100018","engenagreementnumber-100018","engenconsumerid-100018","planpartnerid-100018","clientassignedmemberid-100018","pmi-100018","mnppid-100018","mnppmemberck-100018","maxis-100018","auth0id-100018","clearstoneid-100018","bcbsalid-100018","dhsid-100018","umi-100018","engenagreementnumber-100018","engenconsumerid-100018","planpartnerid-100018","clientassignedmemberid-100018","pmi-100018","mnppid-100018","mnppmemberck-100018","maxis-100018","auth0id-100018","clearstoneid-100018","bcbsalid-100018","dhsid-100018"
"ENC","1032","HCO_HCP","410","SI-100030","Ruben","P","Hernandez","Jr.","Male","12/26/1966","","M10000030","G1030","273715517","Married","Group 31","Child","Springfield, NJ","6263241254","9307257932","ruben_hernandez@aol.com","1030","130 Main St","Chesterton","IN","10030","USA","umi-100030","engenagreementnumber-100030","engenconsumerid-100030","planpartnerid-100030","clientassignedmemberid-100030","pmi-100030","mnppid-100030","mnppmemberck-100030","maxis-100030","auth0id-100030","clearstoneid-100030","bcbsalid-100030","dhsid-100030","umi-100030","engenagreementnumber-100030","engenconsumerid-100030","planpartnerid-100030","clientassignedmemberid-100030","pmi-100030","mnppid-100030","mnppmemberck-100030","maxis-100030","auth0id-100030","clearstoneid-100030","bcbsalid-100030","dhsid-100030"
"ENC","1037","HCO_HCP","630","SI-100035","Henry","J","Path","Jr.","Male","8/23/1973","","M10000035","G1035","1609618459","Married","Group 36","Other","Springfield, OK","9911047891","3782182463","henry_path@gmail.com","1035","135 Main St","Bayside","NY","10035","USA","umi-100035","engenagreementnumber-100035","engenconsumerid-100035","planpartnerid-100035","clientassignedmemberid-100035","pmi-100035","mnppid-100035","mnppmemberck-100035","maxis-100035","auth0id-100035","clearstoneid-100035","bcbsalid-100035","dhsid-100035","umi-100035","engenagreementnumber-100035","engenconsumerid-100035","planpartnerid-100035","clientassignedmemberid-100035","pmi-100035","mnppid-100035","mnppmemberck-100035","maxis-100035","auth0id-100035","clearstoneid-100035","bcbsalid-100035","dhsid-100035"
"ENC","1054","HCO_HCP","871","SI-100050","Allard","L","Wright","Jr.","Male","5/14/1963","","M10000050","G1050","8401598369","Single","Group 1","Child","Springfield, AL","6090635985","9504733591","allard_wright@aol.com","1050","150 Main St","Piscataway","NJ","10050","USA","umi-100050","engenagreementnumber-100050","engenconsumerid-100050","planpartnerid-100050","clientassignedmemberid-100050","pmi-100050","mnppid-100050","mnppmemberck-100050","maxis-100050","auth0id-100050","clearstoneid-100050","bcbsalid-100050","dhsid-100050","umi-100050","engenagreementnumber-100050","engenconsumerid-100050","planpartnerid-100050","clientassignedmemberid-100050","pmi-100050","mnppid-100050","mnppmemberck-100050","maxis-100050","auth0id-100050","clearstoneid-100050","bcbsalid-100050","dhsid-100050"
"ENC","1058","HCO_HCP","329","SI-100053","Donald","Robert","Jenkins","III","Male","2/14/1968","","M10000053","G1053","5872751583","Single","Group 4","Spouse","Springfield, AR","6396795335","4665421370","donald_jenkins@aol.com","1053","153 Main St","Honolulu","HI","10053","USA","umi-100053","engenagreementnumber-100053","engenconsumerid-100053","planpartnerid-100053","clientassignedmemberid-100053","pmi-100053","mnppid-100053","mnppmemberck-100053","maxis-100053","auth0id-100053","clearstoneid-100053","bcbsalid-100053","dhsid-100053","umi-100053","engenagreementnumber-100053","engenconsumerid-100053","planpartnerid-100053","clientassignedmemberid-100053","pmi-100053","mnppid-100053","mnppmemberck-100053","maxis-100053","auth0id-100053","clearstoneid-100053","bcbsalid-100053","dhsid-100053"
"ENC","1073","HCO_HCP","589","SI-100067","Walter","Zerra","Wilbanks","II","Male","1/6/1968","","M10000067","G1067","838061505","Married","Group 18","Other","Springfield, LA","5423108656","3638702242","walter_wilbanks@gmail.com","1067","167 Main St","Mcdonough","GA","10067","USA","umi-100067","engenagreementnumber-100067","engenconsumerid-100067","planpartnerid-100067","clientassignedmemberid-100067","pmi-100067","mnppid-100067","mnppmemberck-100067","maxis-100067","auth0id-100067","clearstoneid-100067","bcbsalid-100067","dhsid-100067","umi-100067","engenagreementnumber-100067","engenconsumerid-100067","planpartnerid-100067","clientassignedmemberid-100067","pmi-100067","mnppid-100067","mnppmemberck-100067","maxis-100067","auth0id-100067","clearstoneid-100067","bcbsalid-100067","dhsid-100067"
"ENC","1078","HCO_HCP","410","SI-100072","Patrick","A","Knowlton","II","Male","2/25/1990","","M10000072","G1072","2103258344","Married","Group 23","Self","Springfield, MN","6563821479","8973062936","patrick_knowlton@aol.com","1072","172 Main St","West Lafayette","IN","10072","USA","umi-100072","engenagreementnumber-100072","engenconsumerid-100072","planpartnerid-100072","clientassignedmemberid-100072","pmi-100072","mnppid-100072","mnppmemberck-100072","maxis-100072","auth0id-100072","clearstoneid-100072","bcbsalid-100072","dhsid-100072","umi-100072","engenagreementnumber-100072","engenconsumerid-100072","planpartnerid-100072","clientassignedmemberid-100072","pmi-100072","mnppid-100072","mnppmemberck-100072","maxis-100072","auth0id-100072","clearstoneid-100072","bcbsalid-100072","dhsid-100072"
"ENC","1096","HCO_HCP","342","SI-100088","Stephen","J","Perov","III","Male","12/15/1947","","M10000088","G1088","1866819246","Married","Group 39","Self","Springfield, RI","7932416487","5518174179","stephen_perov@aol.com","1088","188 Main St","Coatesville","PA","10088","USA","umi-100088","engenagreementnumber-100088","engenconsumerid-100088","planpartnerid-100088","clientassignedmemberid-100088","pmi-100088","mnppid-100088","mnppmemberck-100088","maxis-100088","auth0id-100088","clearstoneid-100088","bcbsalid-100088","dhsid-100088","umi-100088","engenagreementnumber-100088","engenconsumerid-100088","planpartnerid-100088","clientassignedmemberid-100088","pmi-100088","mnppid-100088","mnppmemberck-100088","maxis-100088","auth0id-100088","clearstoneid-100088","bcbsalid-100088","dhsid-100088"
